id,card,time,x,y,gameId,playerId
2,red,66,40.15706806282722,17.99307958477509,3,5
3,red,65,46.28272251308901,38.4083044982699,4,5
4,yellow,77,,,6,5
5,yellow,41,,,7,9
6,yellow,74,,,8,5
7,yellow,62,,,10,5
8,yellow,31,,,12,7
9,yellow,72,,,12,8
10,yellow,15,,,13,5
11,yellow,20,,,13,5
12,yellow,65,,,13,9
13,yellow,74,56.78947368421053,29.09407665505227,17,8
14,yellow,81,39.55808080808081,44.5,19,5
15,yellow,89,29.38131313131313,40.83333333333334,19,5
16,yellow,78,,,23,7
17,yellow,90,,,23,7
18,yellow,68,24.80263157894737,9.40766550522648,25,7
19,yellow,80,25.31578947368421,45.64459930313589,25,5
20,yellow,87,13,44.77351916376306,25,5
